,AID,CID,Activity Outcome,Protein Accession,SMILES
2194271,1671197,135423095.0,Inactive,AAV41877,CC1=CC(=C(C=C1)N=NC2=C(C(=CC3=CC=CC=C32)C(=O)O)[O-])S(=O)(=O)[O-].[Ca+2]
2194273,1671197,9797360.0,Inactive,AAV41877,C1CN2CCC1N(CC2)C(=O)OC3=CC=C(C=C3)Br
2194275,1671197,135502804.0,Inactive,AAV41877,CC(C)(C)C1=NN=C(NC1=O)SC
2194277,1671197,54675776.0,Inactive,AAV41877,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
2194279,1671197,2723942.0,Inactive,AAV41877,C1=CC=C(C=C1)COC(=O)N[C@@H](CC(=O)O)C(=O)O
2194281,1671197,16051987.0,Inactive,AAV41877,C1=C(NN=C1)CCN.Cl
2194283,1671197,136276712.0,Active,AAV41877,C[C@H]1/C=C\C=C(/C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)\C
2194285,1671197,20056828.0,Inactive,AAV41877,C1[C@@H]([C@H]([C@@H](C([C@@H]1N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)N)N.OS(=O)(=O)O
2194287,1671197,135398748.0,Inactive,AAV41877,C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N
2194289,1671197,2723854.0,Active,AAV41877,C1=CC2=C(C=C1S(=O)(=O)[O-])C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)[O-])O.[Na+].[Na+]
2194291,1671197,54688686.0,Inactive,AAV41877,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O
2194295,1671197,6040503.0,Active,AAV41877,CC(=O)/C=C/C1=CC2=C(C=C1)OCO2
2194297,1671197,16722125.0,Active,AAV41877,CC1([C@@H]([C@@H]1C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)/C=C/4\CCSC4=O)C
2194299,1671197,54685925.0,Inactive,AAV41877,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C.Cl
2194301,1671197,86287517.0,Active,AAV41877,C(=N)(N)N[N+](=O)[O-]
